name,price,district,date_crawl,product_type,time_since_date_crawl,image_link,product_link,page
" Macbook Pro 14"" M1 Pro 16/1TB Gray Care 09/25",27.490.000 đ,Quận Tân Bình,2025-04-29 01:54:33,16 GB | 1 TB | SSD | ,6 ngày trước,https://cdn.chotot.com/CPhFaCbwCf0uBFTuH-yRiYb9ArMJkhOL5mik0K3NHtA/preset:listing/plain/26383fac94a1cfd88f15e0f706f51e81-2928153744595006948.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124503532.htm,1
" Macbook Pro 14"" M1 Pro 16/1TB bhh t9",27.500.000 đ,Quận Tân Bình,2025-04-29 01:54:33,Khác | 16 GB | 1 TB | SSD | ,6 ngày trước,https://cdn.chotot.com/FRIaByDprYVDhTAhRniPI5cR78758cGxvLuidm_hg0E/preset:listing/plain/600aa7b979b162c1e12938d49851ef5c-2928151395085340760.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124503040.htm,1
 Macbook pro m1 14” 2021 16g/512g sạc91 lần bh3 th,21.000.000 đ,Quận 3,2025-04-29 01:54:33,Unknown,5 ngày trước,https://cdn.chotot.com/EzKo8WlvNCKnM2qIZtloD15amXCBhj9vQuzCpTCTs2U/preset:listing/plain/82fb75687333a16237314eca80318b5c-2928284979653180642.jpg,https://www.chotot.com/mua-ban-laptop-quan-3-tp-ho-chi-minh/124524412.htm,1
" Macbook Pro 14"" M1 Pro 16/1TB 10/16gpu Fullbox 99%",27.490.000 đ,Quận 10,2025-04-29 01:54:33,Khác | 16 GB | 1 TB | SSD | ,6 ngày trước,https://cdn.chotot.com/HQOCxRLL615xuP0RQA2bMpKeBuIebu4r9Jzs8I4kSUA/preset:listing/plain/83a5e8c17427cd6b7644c2ffa319aaae-2928151715077536057.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124503185.htm,1
 Macbook pro m1 zin 100% ít xài pin còn tới 98%,12.200.000 đ,Quận Gò Vấp,2025-04-29 01:54:33,Khác | 8 GB | 256 GB | SSD | ,5 ngày trước,https://cdn.chotot.com/_CY4hu04z_F09tbl9p-mbjcZ384SWbG3wbrl0E7gB2o/preset:listing/plain/42deea1ecc27ed08f7f7217dcbe17f4d-2928985452627080210.jpg,https://www.chotot.com/mua-ban-laptop-quan-go-vap-tp-ho-chi-minh/121843317.htm,1
" Macbook Pro 14"" M1Pro/16Gb/1TB Gray Care+ 3/2025",27.500.000 đ,Quận Bình Thạnh,2025-04-29 01:54:33,Khác | 16 GB | 1 TB | SSD | ,7 ngày trước,https://cdn.chotot.com/fgMK9PyXpbmbKAHClWReZExZ52A50qJDe-82Al5yALI/preset:listing/plain/32e77c45bf90928e2ac1d5f21703025f-2885965776953500516.jpg,https://www.chotot.com/mua-ban-laptop-quan-binh-thanh-tp-ho-chi-minh/117642455.htm,1
" Apple MacBook Pro 2021 14"" M1Pro/16G/512GB likenew",28.900.000 đ,Quận 1,2025-04-29 01:54:37,Khác | 16 GB | 512 GB | SSD | ,5 ngày trước,https://cdn.chotot.com/LcU_w1ql_9s0O_528w8tG4vAL9SX7B5z75PC9T2-ik0/preset:listing/plain/e803130e78ef98ab4a8eceec396158c3-2918980316985389424.jpg,https://www.chotot.com/mua-ban-laptop-quan-1-tp-ho-chi-minh/122922615.htm,2
 Macbook pro M1 13' silver Ram 16/256GB  Pin 98%,16.900.000 đ,Quận 10,2025-04-29 01:54:37,Khác | 16 GB | 256 GB | SSD | ,7 ngày trước,https://cdn.chotot.com/cNxmd-5SQ0pySkBpo3cQneXatDbqoME8WB82IckyRnE/preset:listing/plain/d9ef05e0131fadf48b64e1938118748a-2928128759847499236.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124496076.htm,2
" MBPRO 14"" M1/16/512 Fullbox 98%",23.500.000 đ,Quận Bình Thạnh,2025-04-29 01:54:37,Khác | 16 GB | 512 GB | SSD | ,7 ngày trước,https://cdn.chotot.com/kYnjpoJZMo1QwMs4VrwBIfmTI9eDCXhRvUS2_pRQQ9M/preset:listing/plain/727610ccfaeaf034bb5e3b2d959e8057-2887530175340127030.jpg,https://www.chotot.com/mua-ban-laptop-quan-binh-thanh-tp-ho-chi-minh/117909987.htm,2
 Macbook Pro 14” M1/16/512 Gray 99%,24.900.000 đ,Quận Tân Phú,2025-04-29 01:54:37,16 GB | 512 GB | SSD | ,1 tuần trước,https://cdn.chotot.com/sWoX_R1TTV81GmUW7ZXX2sYdQ9MEVqtsHSI_tw74Op8/preset:listing/plain/961e8bbc2dbcc32d01a2e41609f7f62e-2890569748175307510.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-phu-tp-ho-chi-minh/118449307.htm,2
 MACBOOK PRO 14” M1MAX,39.900.000 đ,Quận 10,2025-04-29 01:54:37,Khác | 32 GB | 1 TB | SSD | ,1 tuần trước,https://cdn.chotot.com/cm7_kqV5ETws6Af2c4BEXMyQR4bx15hSqWg8GTsB_uQ/preset:listing/plain/b6abe662b90be8a090461297276d37c8-2918690895793477501.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/122873336.htm,2
" Macbook Pro 14"" M1 Pro 16/512GB Gray 98,5%",24.490.000 đ,Quận Tân Bình,2025-04-29 01:54:37,16 GB | 512 GB | SSD | ,2 tuần trước,https://cdn.chotot.com/SgKSVNqd242C2SiCea2i1ekL58LO0U7gubZSIhsX4Zs/preset:listing/plain/2866d718a8d8ed9ee1f14b6c8797c04f-2927105047822967073.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124322363.htm,2
 Macbook Pro 14” 2021| M1 Pro| 32Gb| SSD 512Gb 99%,27.700.000 đ,Quận Gò Vấp,2025-04-29 01:54:37,Khác | 32 GB | 512 GB | SSD | ,1 tuần trước,https://cdn.chotot.com/RzJPSJQmZnLqthrQmGUwyN4DYn36RAg9QEU5hkDwhYM/preset:listing/plain/67d0f5eda88f02fc983d9aedd9f24d4f-2927671278032268799.jpg,https://www.chotot.com/mua-ban-laptop-quan-go-vap-tp-ho-chi-minh/124419615.htm,2
 Macbook Pro 14” 2021| M1 Pro| 16Gb| SSD 512Gb| 99,24.500.000 đ,Quận Gò Vấp,2025-04-29 01:54:37,Khác | 16 GB | 512 GB | SSD | ,1 tuần trước,https://cdn.chotot.com/8zRAq_HJcnNEmcBDRt8T6pkjyIONAEEc-wcFSRSfe_Y/preset:listing/plain/fedcd236cb6afb2e36db50bcd1797439-2927574691277127781.jpg,https://www.chotot.com/mua-ban-laptop-quan-go-vap-tp-ho-chi-minh/124409823.htm,2
" MacBook Pro M1 - RAM 16GB, SSD 256GB, 13 inch",16.000.000 đ,Quận 10,2025-04-29 01:54:37,Khác | 16 GB | 256 GB | SSD | ,1 tuần trước,https://cdn.chotot.com/GLSaN1QSbysO9CxZDa7OJbs2eUerxVZJ_tU-VXFXISM/preset:listing/plain/1bb736e2ca6f680dd6e7d44285b14f01-2927763781720625240.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124439722.htm,2
 Macbook M1 Pro 14in 2021 Ram 16Gb | Ssd 512Gb,17.500.000 đ,Quận 10,2025-04-29 01:54:37,Khác | 16 GB | 512 GB | SSD | ,1 tuần trước,https://cdn.chotot.com/GcxJVND8XELoLMYOe1r759XXbvls5g2DPW3fYJw5Kp4/preset:listing/plain/b4d348bb6f337fe41e7bec96b186b30f-2927876241467002210.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124456523.htm,2
 Macbook pro m1 14” 2021 16g/512g sạc72 lần bh3 th,21.000.000 đ,Quận 3,2025-04-29 01:54:37,Unknown,2 tuần trước,https://cdn.chotot.com/AtdrMDJqTZJYuGc2aK7CcqIWyMxNV6dYmil2ERsIyXc/preset:listing/plain/9857fc4e6c5b680a764188b3558094f3-2927322674859795618.jpg,https://www.chotot.com/mua-ban-laptop-quan-3-tp-ho-chi-minh/124365067.htm,2
" Macbook Pro 14"" M1 Pro 16/512 Gray 99%",24.490.000 đ,Quận Tân Bình,2025-04-29 01:54:37,16 GB | 512 GB | SSD | ,2 tuần trước,https://cdn.chotot.com/L8zFV2-sCx_ts7vWW0W8kCb6GwykWdPLc36pJHfui5k/preset:listing/plain/732997807370da2ecef0564579e1b468-2927115244230369584.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124325352.htm,2
" Macbook Pro 14"" M1 Pro 16/512Gb Gray 99% giá êm",24.490.000 đ,Quận 10,2025-04-29 01:54:37,Khác | 16 GB | 512 GB | SSD | ,2 tuần trước,https://cdn.chotot.com/zsxt_1r2d_lzXtRzpnPDbqHVnkh6C9QcrvQxR3JEJF4/preset:listing/plain/a32c87ab3a38964efe6cde6dc0f0b81b-2927118635631912226.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124326287.htm,2
" Cần pass lại Macbook Pro 14"" M1 Pro 16/512 Zin đẹp",24.490.000 đ,Quận Tân Bình,2025-04-29 01:54:37,Khác | 16 GB | 512 GB | SSD | ,2 tuần trước,https://cdn.chotot.com/LcJ5eEOv9tsBvmg6w_SZWTkpgHMDQuekwZkGyGN6uQE/preset:listing/plain/c48670ec2056b4934915b762ef202b93-2927102781428925442.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124321509.htm,2
" Macbook Pro 16in M1 Pro, 32G, 512G, MDM, 99%",29.900.000 đ,Quận Tân Bình,2025-04-29 01:54:37,Unknown,2 tuần trước,https://cdn.chotot.com/Ge4nRjx8nf-rfWTodgougVcX4rKy_MvUphYsCVj6eKg/preset:listing/plain/7082c981e382acd12b6d416ace07702c-2925653091133416114.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124088470.htm,2
" Macbook Pro 14"" M1 Pro 16/512GB Silver Pin 100%",26.500.000 đ,Quận Tân Bình,2025-04-29 01:54:37,16 GB | 512 GB | SSD | ,2 tuần trước,https://cdn.chotot.com/Zbubc28e2HwbXxHGmeo9Kjrsuxq1gtdfFo4wSeXyQsA/preset:listing/plain/38661cf9c4512f9a512d5ef614522c94-2926658272780722764.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124247795.htm,2
 Apple Macbook Pro 14 inch M1 16G 512G Ko MDM Đẹp,24.500.000 đ,Quận Phú Nhuận,2025-04-29 01:54:37,Khác | 16 GB | 512 GB | SSD | ,2 tuần trước,https://cdn.chotot.com/X8EjfEnGsvxOUMbI9r2MApltLlQl8K7-8BYR0cZbL54/preset:listing/plain/c120e749caaa5f3300bd971f4bf31f43-2926679884560803344.jpg,https://www.chotot.com/mua-ban-laptop-quan-phu-nhuan-tp-ho-chi-minh/124254480.htm,2
 MacBook Pro 14” M1 Pro 16/512GB Gray,25.900.000 đ,Quận Tân Bình,2025-04-29 01:54:37,16 GB | 512 GB | SSD | ,3 tuần trước,https://cdn.chotot.com/mAo_y9yLFBu_w1XRH0NipIKravjAoGCTqPvXUabr_RQ/preset:listing/plain/2ade1697d95627b817adcc454ce1f558-2926394434844443009.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124205087.htm,2
 Macbook M1 Pro 14 inch 16GB 256GB Like New,24.500.000 đ,Thành phố Thủ Đức,2025-04-29 01:54:37,Khác | 16 GB | 512 GB | SSD | ,2 tuần trước,https://cdn.chotot.com/5lXbqqMNJxRwzm6-P4Db43mD8NPvyCGFtatfJ5nrTJo/preset:listing/plain/83a9aee27ed8fe3e25079dfc5a548e28-2927006012754648596.jpg,https://www.chotot.com/mua-ban-laptop-thanh-pho-thu-duc-tp-ho-chi-minh/124309061.htm,2
 MacBook pro 2020 8/256g 99%,7.500.000 đ,Quận Bình Thạnh,2025-04-29 01:54:42,Intel Core i5 | 8 GB | 256 GB | SSD | ,7 giờ trước,https://cdn.chotot.com/JtE31Rq_pwO85jNPH9jPsbBZIZOfmf7pDmffUOvNOPE/preset:listing/plain/43fcfa91a7783e708a39aab8b05f7c24-2928715522415880041.jpg,https://www.chotot.com/mua-ban-laptop-quan-binh-thanh-tp-ho-chi-minh/124594568.htm,3
 Macbook Pro M3 Pro 16' Silver Ram 18 | Ssd 512Gb,33.900.000 đ,Quận 10,2025-04-29 01:54:42,Khác | 32 GB | 512 GB | SSD | ,7 giờ trước,https://cdn.chotot.com/yGP-T8NPTqtfSmGuy3Sz1lrFc3YK_fsNkuO-a7yc0E0/preset:listing/plain/ef3672b12412e1690eaaa5b16cc62188-2929038119538556427.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124641354.htm,3
 Thu và mua Macbook pro  aTouchbar,1.000.000 đ,Quận 10,2025-04-29 01:54:42,Intel Core i5 | 16 GB | 500 GB | SSD | ,8 giờ trước,https://cdn.chotot.com/WnedJe13FRTvnbtZ5FQTD1QCudyA9FL6PwQRqI3t9ts/preset:listing/plain/24e070051c8562c03bf4644027472761-2878621571517453185.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/116349127.htm,3
" Bán Macbook pro 2018 13.3""",6.500.000 đ,Quận Tân Phú,2025-04-29 01:54:42,Intel Core i5 | 8 GB | 256 GB | SSD | ,12 giờ trước,https://cdn.chotot.com/W2Zz4d4izfmiHaHEiVD9_czD06XyXxvCocl3ivDTjro/preset:listing/plain/f4171bd9c35bc204f354dd2f82afe845-2929006073329895124.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-phu-tp-ho-chi-minh/124634424.htm,3
 Macbook Pro 13” M1 8/256 gray,15.000.000 đ,Quận Tân Bình,2025-04-29 01:54:42,Khác | 8 GB | 256 GB | SSD | ,8 giờ trước,https://cdn.chotot.com/WaKzRt1uIrHbFYt8gihLCabXgGSS6SpwzK7b7xlIFK4/preset:listing/plain/e0920c08c26b09d682f333f6f2f38b60-2929025276470984203.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124639804.htm,3
 MacBook Pro 14” M4 Pro 24/512GB Black SA Fullbox,43.900.000 đ,Quận Tân Bình,2025-04-29 01:54:42,512 GB | SSD | ,14 giờ trước,https://cdn.chotot.com/BVjnXbpnK2MunISAhVzu67fnYeYQKAiudb-lzwFLKFs/preset:listing/plain/3c169d5706a6718bd72cf3e9182bf397-2928994874841321560.jpg,https://www.chotot.com/mua-ban-laptop-quan-tan-binh-tp-ho-chi-minh/124631888.htm,3
 Macbook pro 13 2019 core i7,7.800.000 đ,Quận 8,2025-04-29 01:54:42,Intel Core i7 | 16 GB | 500 GB | SSD | ,14 giờ trước,https://cdn.chotot.com/IvvPmHQcc7Oa7SDSo_JA-yk5F7cNCfpKuCkHH7Y1_Lw/preset:listing/plain/a20995c8030083e022dbbfa86854911a-2928993513779248726.jpg,https://www.chotot.com/mua-ban-laptop-quan-8-tp-ho-chi-minh/124631948.htm,3
" MacBook Pro 13"" 2020 M1 Silver 8/256GB giá tốt",12.800.000 đ,Quận 3,2025-04-29 01:54:42,Khác | 8 GB | 256 GB | SSD | ,11 giờ trước,https://cdn.chotot.com/zNJ9I5L8ye2S5r8OtCKVvh-yvTKMAbxADHGtaYrj5YY/preset:listing/plain/b7b3a2e9dcb83bc3846dbf89194eacd7-2929009644183468345.jpg,https://www.chotot.com/mua-ban-laptop-quan-3-tp-ho-chi-minh/124635291.htm,3
 MACBOOK PRO M1/RAM 16G /SSD 256G /PIN 99% /GRAY,16.250.000 đ,Quận 3,2025-04-29 01:54:42,Khác | 16 GB | 256 GB | SSD | ,12 giờ trước,https://cdn.chotot.com/NaCDP6w5VdpRW_SgXrOqaXWtfe2rZjFF0ryCK9m2J8s/preset:listing/plain/6124f4bb96d4e7b7bb57f064a735513c-2929006015291504953.jpg,https://www.chotot.com/mua-ban-laptop-quan-3-tp-ho-chi-minh/124634351.htm,3
 Macbook pro 2019 13' silver Ram 8 | Ssd 256GB | i5,8.900.000 đ,Quận 10,2025-04-29 01:54:42,Khác | 8 GB | 256 GB | SSD | ,13 giờ trước,https://cdn.chotot.com/_Hm8lI8zEk9tmjzYLihKQZoFci2zUXJCggWGs1luwBM/preset:listing/plain/b521e93f438f0dd3e909fd88208ea56f-2928998086231194204.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124632582.htm,3
 MACBOOK M1 Pro 14Inch 16/512 PIN 100% đẹp keng,25.500.000 đ,Quận 10,2025-04-29 01:54:42,16 GB | 512 GB | ,hôm qua,https://cdn.chotot.com/aEC91vqhzKEKWzwjfUNJvqTr_WLdgwBXTPktiREesPg/preset:listing/plain/f4b0733e4fe6e5d81c2ce69420a23e1c-2928859131818457401.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124613700.htm,3
 Macbook pro M3 PRO Spaceblack 14' Ram 36 | Ssd 512,43.900.000 đ,Quận 10,2025-04-29 01:54:42,Khác | 32 GB | 512 GB | SSD | ,15 giờ trước,https://cdn.chotot.com/YblhnKs176so2bz9Pp9aIBkXbSkt68trJSH4r3wlQV4/preset:listing/plain/9548bb75d393abcbc54aa2ccd9d0cae5-2928985619372001495.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124629080.htm,3
 Bán macbook pro 2014,1.990.000 đ,Quận 11,2025-04-29 01:54:42,Intel Core i7 | 16 GB | < 128 GB | SSD | ,17 giờ trước,https://cdn.chotot.com/l218YPQPhNUCbuoPwDrC5-Wdhn_DhslXgNY3IrErRRQ/preset:listing/plain/6028269f77a83d8d7a0ac0097fa80c46-2926085783230282083.jpg,https://www.chotot.com/mua-ban-laptop-quan-11-tp-ho-chi-minh/124147848.htm,3
" MacBook Pro 2019 15-inch , Touch bar, xách tay Mỹ",12.500.000 đ,Quận 1,2025-04-29 01:54:42,Intel Core i7 | 16 GB | 256 GB | SSD | ,6 giờ trước,https://cdn.chotot.com/L_5oSTsujySInGs9y8jbfcn2IadXSopMQGfDiF8SF68/preset:listing/plain/51eab773bd92535a9ff8deb269f2b73a-2919753478233387506.jpg,https://www.chotot.com/mua-ban-laptop-quan-1-tp-ho-chi-minh/123063745.htm,3
" Macbook M1PRO 32gb 1tb, pin 94% xài kỹ. GDTT TPHCM",29.990.000 đ,Quận Bình Thạnh,2025-04-29 01:54:42,Khác | 32 GB | 1 TB | SSD | ,8 giờ trước,https://cdn.chotot.com/NsMldGPIj_bB0jZhx6kw5pB3HiiH-4sIqvY4cgjydeg/preset:listing/plain/72d5301c04b1642aa79a590fb1c99d52-2926403750883290776.jpg,https://www.chotot.com/mua-ban-laptop-quan-binh-thanh-tp-ho-chi-minh/124208336.htm,3
 Macbook pro 2019-16in i9(16cpu)/ 32gb/Ssd 1T 2vga,15.900.000 đ,Quận Bình Thạnh,2025-04-29 01:54:42,Intel Core i9 | 32 GB | 1 TB | SSD | ,7 giờ trước,https://cdn.chotot.com/xlWAvZO5lPOVLddiw3H4q2QNDlP-GapE3MevjAFHuH0/preset:listing/plain/b3d5ec8e98db574aee5a948d78ad4950-2921877176741690437.jpg,https://www.chotot.com/mua-ban-laptop-quan-binh-thanh-tp-ho-chi-minh/123161075.htm,3
 Macbook Pro 14in M4 Pro Like new Care+ 2029 Mỹ,43.900.000 đ,Quận Phú Nhuận,2025-04-29 01:54:42,Khác | > 32GB | 512 GB | SSD | ,hôm qua,https://cdn.chotot.com/brcDawfQqnPiog5sFKKAOCkemWBEQygAaO-dIOnxMkk/preset:listing/plain/79645ff0f12aa78a5e16afbeeedbabb3-2928904536152580779.jpg,https://www.chotot.com/mua-ban-laptop-quan-phu-nhuan-tp-ho-chi-minh/124621668.htm,3
 MacBook Air M1 8/256,10.500.000 đ,Quận 11,2025-04-29 01:54:46,Khác | 8 GB | 256 GB | SSD | ,18 giờ trước,https://cdn.chotot.com/QIlx3onf2AuvG5PtlOfo3Ip-55t-0KJB80ShgARuNgI/preset:listing/plain/5ad330aa0221cf46341bbcf76597febe-2928968408927418681.jpg,https://www.chotot.com/mua-ban-laptop-quan-11-tp-ho-chi-minh/124624590.htm,4
 Apple MacBook Air M1 16G 256G Silver 99% Pin 93%,13.990.000 đ,Quận 10,2025-04-29 01:54:46,Khác | 16 GB | 256 GB | SSD | ,6 giờ trước,https://cdn.chotot.com/IwY19byzWcTd72D9gZvagD3m8_W6lfAzC_W_Q9QXXXo/preset:listing/plain/9641de62676e9e2978763f289c3badb7-2929041807672624852.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124641889.htm,4
" Macbook Air M1, chính hãng hết BH, like new",11.500.000 đ,Quận Phú Nhuận,2025-04-29 01:54:46,Khác | 8 GB | 256 GB | SSD | ,7 giờ trước,https://cdn.chotot.com/u2iblz37dn_rkwd9P5VYZA4Lf3-RJuebcRmW-9oxx1w/preset:listing/plain/863d4d5dc9f748650f80e8c4073be4da-2929037026322069817.jpg,https://www.chotot.com/mua-ban-laptop-quan-phu-nhuan-tp-ho-chi-minh/124641176.htm,4
" Macbook Air M2 13"" 2022 Ram 8Gb/ 256Gb Pin 100%",14.500.000 đ,Quận 10,2025-04-29 01:54:46,Khác | 8 GB | 256 GB | SSD | ,8 giờ trước,https://cdn.chotot.com/Bnm7McMyBa2zpte81Up6ZWF3GMpW3v89C-knUGy9PJU/preset:listing/plain/d889562f80137ed8dc84435addac4612-2929031204385411160.jpg,https://www.chotot.com/mua-ban-laptop-quan-10-tp-ho-chi-minh/124640232.htm,4
 Thanh lý MacBook Pro chip M2 13in giá quá rẻ.,13.900.000 đ,Quận Gò Vấp,2025-04-29 01:54:46,Khác | 8 GB | 500 GB | SSD | ,18 giờ trước,https://cdn.chotot.com/gBK2JFAMFbGWL7Xz8JXFZ_C4Vb2da6LC9md453CsGwA/preset:listing/plain/a4d796fc51b4b2af0c74b8a4cb7435b8-2925084553575370872.jpg,https://www.chotot.com/mua-ban-laptop-quan-go-vap-tp-ho-chi-minh/123991068.htm,4
